source_id,source_name,organization,domain,url,access_type,granularity,update_frequency,is_df_government,temporal_coverage,caveat
IBRAM_RA_2025,Regiões Administrativas do DF 2025,IBRAM / ONDA-DF (GDF),regions,https://onda.ibram.df.gov.br/server/rest/services/Territorio/Regioes_Administrativas_DF_2025/MapServer/0,API ArcGIS REST (GeoJSON),Região Administrativa,Eventual,true,2025,Área geodésica recalculada do polígono; o campo st_area do serviço usa CRS projetado e não confere.
IBGE_LOCALIDADES,Subdistritos de Brasília,IBGE,regions,https://servicodados.ibge.gov.br/api/v1/localidades/municipios/5300108/subdistritos,API REST (JSON),Subdistrito = Região Administrativa,Por Censo,false,Malha 2022,No DF os subdistritos do IBGE correspondem às Regiões Administrativas.
IBGE_CENSO_2022,População residente — Censo 2022 (agregado 9923),IBGE / SIDRA,population,https://servicodados.ibge.gov.br/api/v3/agregados/9923,API REST (JSON),Região Administrativa,Decenal,false,2022,Arapoanga e Água Quente não têm valor publicado; o IBGE os contabiliza dentro das RAs de origem.
IBGE_CENSO_2010,População residente — Censo 2010 (agregado 1309),IBGE / SIDRA,population,https://servicodados.ibge.gov.br/api/v3/agregados/1309,API REST (JSON),Região Administrativa,Decenal,false,2010,Em 2010 o IBGE reconhecia 19 subdistritos no DF — recorte territorial diferente do de 2022.
IBGE_ESTIMATIVAS,População residente estimada (agregado 6579),IBGE / SIDRA,population,https://servicodados.ibge.gov.br/api/v3/agregados/6579,API REST (JSON),Distrito Federal,Anual,false,2001-2026,Não desce a Região Administrativa. Anos de Censo e de revisão metodológica não têm estimativa.
SSP_DF_BALANCO,Balanço Criminal por Região Administrativa,SSP-DF / Subsecretaria de Gestão da Informação,security,https://www.ssp.df.gov.br/dados-por-regiao-administrativa/,Página HTML + XLS/XLSX,Região Administrativa x mês x natureza,Mensal,true,2014-2026,Registros administrativos de ocorrência policial — não a totalidade dos crimes. Subnotificação existe e varia entre regiões.
CNES_ESTABELECIMENTOS,Estabelecimentos de saúde — CNES,Ministério da Saúde / DATASUS,health,https://apidadosabertos.saude.gov.br/cnes/estabelecimentos,API REST (JSON),Estabelecimento (geolocalizado em RA),Mensal,false,Posição atual,Indicador de infraestrutura instalada — NÃO de produção de atendimentos. Parte dos registros não tem coordenada.
OPEN_METEO_ERA5,Histórico climático (reanálise ERA5),Open-Meteo / ECMWF,weather,https://archive-api.open-meteo.com/v1/archive,API REST (JSON),Célula de grade x dia,Diária (latência ~5 dias),false,2019-atual,FONTE NÃO GOVERNAMENTAL DO DF. Saída de modelo de reanálise interpolada — não é medição de estação do INMET.
SEEDF_EDUCACENSO,Escolas e matrículas — Educacenso (todas as redes),SEEDF / Inep,education,https://data.se.df.gov.br,API CKAN + CSV,Escola (atribuída a RA pela coordenada),Anual,true,2014-2025,"Matrícula é contada onde a escola fica, não onde o aluno mora. Em 8 dos 12 anos o arquivo de matrículas omite escolas ativas do cadastro e não é publicado (lacuna); 2024 não traz total de matrículas."
IDEDF_MOBILIDADE,"Malha cicloviária, estações de metrô e terminais de ônibus",IDE-DF / SEDUH (GDF),mobility,https://www.geoservicos.ide.df.gov.br/arcgis/rest/services/Publico/IDEDF/FeatureServer,API ArcGIS REST (GeoJSON),Trecho e estação (geometria recortada por RA),Eventual,true,Posição atual (trechos de 2002 a 2023),"Retrato do presente: a série por ano de construção mostra os trechos que existem hoje, não a malha de cada ano. Estações de BRT não entram (camada sem nome e sem contagem verificável)."
